timestamp, utilization.gpu [%], utilization.memory [%], memory.used [MiB], memory.total [MiB], power.draw [W], temperature.gpu, clocks.current.sm [MHz], clocks.current.memory [MHz]
2026/05/28 20:34:30.812, 97 %, 61 %, 3330 MiB, 8192 MiB, 105.56 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:31.846, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.41 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:32.880, 96 %, 61 %, 3330 MiB, 8192 MiB, 106.57 W, 86, 1470 MHz, 7000 MHz
2026/05/28 20:34:33.921, 95 %, 62 %, 3330 MiB, 8192 MiB, 106.04 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:34.971, 95 %, 62 %, 3330 MiB, 8192 MiB, 106.64 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:34:36.061, 97 %, 62 %, 3330 MiB, 8192 MiB, 105.64 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:37.155, 95 %, 63 %, 3330 MiB, 8192 MiB, 109.86 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:34:38.243, 94 %, 62 %, 3330 MiB, 8192 MiB, 110.81 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:34:39.332, 95 %, 60 %, 3330 MiB, 8192 MiB, 110.80 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:34:40.423, 95 %, 59 %, 3330 MiB, 8192 MiB, 111.40 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:41.511, 96 %, 64 %, 3330 MiB, 8192 MiB, 110.42 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:34:42.601, 96 %, 61 %, 3330 MiB, 8192 MiB, 122.08 W, 87, 1305 MHz, 7000 MHz
2026/05/28 20:34:43.682, 95 %, 58 %, 3330 MiB, 8192 MiB, 102.68 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:34:44.758, 95 %, 63 %, 3330 MiB, 8192 MiB, 111.64 W, 86, 1590 MHz, 7000 MHz
2026/05/28 20:34:45.834, 93 %, 62 %, 3330 MiB, 8192 MiB, 110.70 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:46.914, 97 %, 64 %, 3330 MiB, 8192 MiB, 111.14 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:34:47.988, 96 %, 62 %, 3330 MiB, 8192 MiB, 110.62 W, 86, 1545 MHz, 7000 MHz
2026/05/28 20:34:49.063, 97 %, 62 %, 3330 MiB, 8192 MiB, 106.40 W, 86, 1500 MHz, 7000 MHz
2026/05/28 20:34:50.139, 96 %, 62 %, 3330 MiB, 8192 MiB, 104.20 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:34:51.215, 94 %, 62 %, 3330 MiB, 8192 MiB, 103.36 W, 85, 1350 MHz, 7000 MHz
2026/05/28 20:34:50.809, 95 %, 62 %, 3330 MiB, 8192 MiB, 103.68 W, 85, 1380 MHz, 7000 MHz
2026/05/28 20:34:51.862, 96 %, 61 %, 3330 MiB, 8192 MiB, 103.57 W, 86, 1485 MHz, 7000 MHz
2026/05/28 20:34:52.916, 97 %, 61 %, 3330 MiB, 8192 MiB, 106.28 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:34:53.967, 98 %, 63 %, 3330 MiB, 8192 MiB, 108.79 W, 86, 1320 MHz, 7000 MHz
2026/05/28 20:34:55.019, 94 %, 63 %, 3330 MiB, 8192 MiB, 108.85 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:34:56.071, 96 %, 61 %, 3330 MiB, 8192 MiB, 108.52 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:34:57.121, 94 %, 57 %, 3330 MiB, 8192 MiB, 109.00 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:34:58.171, 96 %, 62 %, 3330 MiB, 8192 MiB, 108.95 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:34:59.228, 97 %, 60 %, 3330 MiB, 8192 MiB, 109.38 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:35:00.303, 97 %, 63 %, 3330 MiB, 8192 MiB, 109.38 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:35:01.390, 93 %, 62 %, 3330 MiB, 8192 MiB, 109.22 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:02.475, 96 %, 61 %, 3330 MiB, 8192 MiB, 108.53 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:35:03.560, 97 %, 61 %, 3330 MiB, 8192 MiB, 108.41 W, 86, 1380 MHz, 7000 MHz
2026/05/28 20:35:04.647, 97 %, 63 %, 3330 MiB, 8192 MiB, 109.07 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:35:05.735, 93 %, 61 %, 3330 MiB, 8192 MiB, 108.74 W, 86, 1410 MHz, 7000 MHz
2026/05/28 20:35:06.819, 96 %, 64 %, 3330 MiB, 8192 MiB, 109.53 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:35:07.905, 95 %, 61 %, 3330 MiB, 8192 MiB, 108.53 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:08.993, 96 %, 63 %, 3330 MiB, 8192 MiB, 109.57 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:10.075, 93 %, 61 %, 3330 MiB, 8192 MiB, 108.02 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:35:11.162, 93 %, 61 %, 3330 MiB, 8192 MiB, 108.60 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:35:12.243, 97 %, 62 %, 3330 MiB, 8192 MiB, 109.49 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:35:13.323, 97 %, 63 %, 3330 MiB, 8192 MiB, 109.04 W, 86, 1440 MHz, 7000 MHz
2026/05/28 20:35:14.410, 96 %, 63 %, 3330 MiB, 8192 MiB, 109.76 W, 86, 1500 MHz, 7000 MHz
2026/05/28 20:35:15.490, 96 %, 58 %, 3330 MiB, 8192 MiB, 109.21 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:35:16.558, 95 %, 59 %, 3330 MiB, 8192 MiB, 108.70 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:17.610, 95 %, 62 %, 3330 MiB, 8192 MiB, 109.18 W, 86, 1515 MHz, 7000 MHz
2026/05/28 20:35:18.655, 95 %, 61 %, 3330 MiB, 8192 MiB, 108.93 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:35:19.701, 92 %, 61 %, 3330 MiB, 8192 MiB, 108.14 W, 86, 1350 MHz, 7000 MHz
2026/05/28 20:35:20.748, 96 %, 64 %, 3330 MiB, 8192 MiB, 108.86 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:21.794, 96 %, 62 %, 3330 MiB, 8192 MiB, 109.59 W, 86, 1575 MHz, 7000 MHz
2026/05/28 20:35:20.957, 94 %, 62 %, 3330 MiB, 8192 MiB, 109.11 W, 86, 1335 MHz, 7000 MHz
2026/05/28 20:35:22.007, 93 %, 61 %, 3330 MiB, 8192 MiB, 109.33 W, 86, 1365 MHz, 7000 MHz
2026/05/28 20:35:23.052, 96 %, 62 %, 3330 MiB, 8192 MiB, 111.74 W, 86, 1425 MHz, 7000 MHz
2026/05/28 20:35:24.099, 93 %, 61 %, 3330 MiB, 8192 MiB, 107.50 W, 86, 1395 MHz, 7000 MHz
2026/05/28 20:35:25.152, 97 %, 62 %, 3330 MiB, 8192 MiB, 107.81 W, 86, 1335 MHz, 7000 MHz
